# title: The Pilgramage of Xuanzang, 629-645CE
# places: places_xuanzang.csv
# segmentType: journey
# timespan: [629,,,645,]
# pub_date: 2010
# contributors: [Whitney Thorpe; Karl Grossner]
# description: Data originally extracted by W. Thorpe from Wriggens, S. (2003) 'The Silk Road journey with Xuanzang', Basic Books; edited by Grossner 2010
# uri:
collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;notes
xuanzang;5001;5001-69;367099;348056;Tashkurghan-Kashgar;;0644-01-01,,,0644-12-31,;?;5001-68;Xuanzang stopped in Tashkurghan for one month before continuing on towards Kashgar oasis. Xuanzang was impressed by the king, who honored Buddhism. Not long after leaving Tashkurghan, Xuanzang's elephant drowned in a river after the carvan was attacked by bandits. \n"The Master of the Law (Xuanzang) remained in this country for 20 days or so, and then going north-east for five days he fell in with a band of robbers
xuanzang;5001;5001-70;348056;348053;Kashgar-Yarkand;;0644-01-01,,,0644-12-31,;?;5001-69;After crossing a mountain range, Xuanzang reaches Yarkand. \n"To the south of this country there is a high mountain in which there are a number of niches like chambers
xuanzang;5001;5001-71;348053;348058;Yarkand-Khotan;;0644-01-01,,,0644-12-31,;?;5001-70;
xuanzang;5001;5001-72;348058;367098;Khotan-Niya;;0644-01-01,,,0644-12-31,;?;5001-71;
xuanzang;5001;5001-73;367098;367089;Niya-Cherchen;;0644-01-01,,,0644-12-31,;?;5001-72;Xuanzang briefly passes through Niya before trekking through the merciless drifitng sands of the desert where there is no water or vegetation.
xuanzang;5001;5001-74;367089;367090;Cherchen-Charkhlik;;0644-01-01,,,0644-12-31,;?;5001-73;Xuanzang reaches Cherchen, another oasis town on the route back to Chang'an. He took respite from the forceful desert winds, blowing sans, and lack of water here. \n"Eastward of this again is the desert of drifting sand, without water or vegetation, burning hot, and subject to the evil poisonous fiendsand imps. There is no road, and travellers in coming and going have only to look for the deserted bones of men and cattle as their guide." Hwui-Li
xuanzang;5001;5001-75;367090;367097;Charkhlik-Loulan;;0644-01-01,,,0644-12-31,;?;5001-74;Xuanzang stopped at this oasis located on the southern Silk Road route on the Taklamakan Desert. Oases such as Charkhlik were places to resupply and rest, after battling through the torturous desert landscapes.
xuanzang;5001;5001-76;367097;367100;Loulan-Tun-huang;;0644-01-01,,,0644-12-31,;?;5001-75;
xuanzang;5001;5001-77;367100;367082;Tun-huang-Liangzhou;;0644-01-01,,,0644-12-31,;?;5001-76;
xuanzang;5001;5001-78;367082;367081;Liangzhou - An-hsi;;0645-01-01,,,0645-12-31,;?;5001-77;Xuanzang briefly passed through Liangzhou again on his journey back to Chang'an.
xuanzang;5001;5001-79;367081;367112;An-hsi - Jade Gate;;0645-01-01,,,0645-12-31,;?;5001-78;Xuanzang returned through this town on the edge of the Gobi Desert on the last leg of his trip back to Chang'an.
xuanzang;5001;5001-80;367112;348203;Jade Gate-Chang'an;;0645-01-01,,,0645-12-31,;?;5001-79;Xuanzang passed back through the Jade Gate in 645 CE on his return to Chang'an. This time he did not have to hide during the day and travel at night. Xuanzang was heading toward a heros welcome in his hometown.
